t,3 mm,t,4 mm,t,5 mm,t,6.5 mm,t,8 mm,t,10 mm,t,11.5 mm,t,15 mm
4.97E-08,9.4737,4.97E-08,10.93011,4.97E-08,12.2128,4.97E-08,13.91717,4.97E-08,15.43328,4.97E-08,17.24913,4.97E-08,19.34639,4.97E-08,22.03779
5.47E-08,7.76789,5.47E-08,8.55567,5.47E-08,9.55562,5.47E-08,10.88512,5.47E-08,12.06859,5.47E-08,13.48659,5.47E-08,14.48109,5.47E-08,16.53065
5.97E-08,6.72465,5.97E-08,7.51003,5.97E-08,8.38495,5.97E-08,9.54804,5.97E-08,10.58332,5.97E-08,11.82344,5.97E-08,12.67847,5.97E-08,14.46973
6.47E-08,5.90909,6.47E-08,6.76638,6.47E-08,7.55679,6.47E-08,8.60847,6.47E-08,9.54558,6.47E-08,10.66923,6.47E-08,11.44369,6.47E-08,13.07037
6.97E-08,5.37881,6.97E-08,6.16672,6.97E-08,6.88446,6.97E-08,7.83828,6.97E-08,8.68719,6.97E-08,9.70384,6.97E-08,10.40167,6.97E-08,11.86976
7.47E-08,4.97289,7.47E-08,5.71741,7.47E-08,6.38475,7.47E-08,7.2713,7.47E-08,8.06018,7.47E-08,9.00483,7.47E-08,9.65285,7.47E-08,11.01686
7.97E-08,4.64567,7.97E-08,5.35146,7.97E-08,5.97909,7.97E-08,6.81237,7.97E-08,7.55351,7.97E-08,8.44072,7.97E-08,9.04899,7.97E-08,10.3295
8.47E-08,4.37018,8.47E-08,5.0437,8.47E-08,5.63961,8.47E-08,6.43009,8.47E-08,7.13272,8.47E-08,7.97344,8.47E-08,8.54955,8.47E-08,9.76222
8.97E-08,4.12996,8.97E-08,4.77672,8.97E-08,5.3468,8.97E-08,6.10223,8.97E-08,6.77317,8.97E-08,7.5755,8.97E-08,8.12499,8.97E-08,9.28134
9.47E-08,3.9145,9.47E-08,4.53894,9.47E-08,5.08767,9.47E-08,5.81396,9.47E-08,6.45839,9.47E-08,7.22849,9.47E-08,7.75558,9.47E-08,8.86438
9.97E-08,3.71687,9.97E-08,4.32246,9.97E-08,4.85332,9.97E-08,5.55506,9.97E-08,6.17705,9.97E-08,6.91974,9.97E-08,7.42774,9.97E-08,8.49581
1.05E-07,3.53244,1.05E-07,4.12185,1.05E-07,4.63751,1.05E-07,5.31833,1.05E-07,5.92111,1.05E-07,6.64025,1.05E-07,7.13179,1.05E-07,8.16463
1.10E-07,3.35813,1.10E-07,3.93332,1.10E-07,4.43584,1.10E-07,5.09859,1.10E-07,5.68476,1.10E-07,6.38348,1.10E-07,6.8607,1.10E-07,7.86276
1.15E-07,3.19195,1.15E-07,3.75425,1.15E-07,4.24515,1.15E-07,4.89208,1.15E-07,5.46372,1.15E-07,6.14455,1.15E-07,6.60921,1.15E-07,7.58419
1.20E-07,3.03269,1.20E-07,3.58287,1.20E-07,4.06324,1.20E-07,4.69604,1.20E-07,5.25481,1.20E-07,5.91981,1.20E-07,6.37337,1.20E-07,7.32433
1.25E-07,2.87967,1.25E-07,3.41808,1.25E-07,3.88859,1.25E-07,4.50849,1.25E-07,5.05567,1.25E-07,5.70652,1.25E-07,6.15016,1.25E-07,7.07967
1.30E-07,2.7326,1.30E-07,3.25919,1.30E-07,3.7202,1.30E-07,4.32803,1.30E-07,4.86457,1.30E-07,5.50258,1.30E-07,5.93728,1.30E-07,6.84747
1.35E-07,2.59141,1.35E-07,3.10587,1.35E-07,3.55747,1.35E-07,4.15369,1.35E-07,4.68028,1.35E-07,5.30645,1.35E-07,5.73297,1.35E-07,6.62559
1.40E-07,2.45619,1.40E-07,2.95802,1.40E-07,3.40007,1.40E-07,3.98487,1.40E-07,4.50192,1.40E-07,5.11697,1.40E-07,5.53591,1.40E-07,6.41237
1.45E-07,2.32707,1.45E-07,2.81567,1.45E-07,3.24788,1.45E-07,3.82121,1.45E-07,4.32892,1.45E-07,4.93333,1.45E-07,5.34512,1.45E-07,6.20655
1.50E-07,2.20417,1.50E-07,2.67892,1.50E-07,3.10091,1.50E-07,3.66252,1.50E-07,4.16093,1.50E-07,4.75496,1.50E-07,5.15991,1.50E-07,6.00715
1.55E-07,2.08758,1.55E-07,2.5479,1.55E-07,2.95925,1.55E-07,3.50878,1.55E-07,3.99776,1.55E-07,4.5815,1.55E-07,4.97978,1.55E-07,5.81344
1.60E-07,1.99161,1.60E-07,2.42274,1.60E-07,2.82301,1.60E-07,3.36004,1.60E-07,3.83938,1.60E-07,4.41276,1.60E-07,4.80444,1.60E-07,5.6249
1.61E-07,1.9735,1.61E-07,2.39833,1.61E-07,2.79634,1.61E-07,3.3308,1.61E-07,3.80818,1.61E-07,4.37947,1.61E-07,4.76983,1.61E-07,5.58766
1.62E-07,1.95569,1.62E-07,2.3742,1.62E-07,2.76994,1.62E-07,3.30183,1.62E-07,3.77724,1.62E-07,4.34644,1.62E-07,4.73548,1.62E-07,5.5507
1.63E-07,1.9381,1.63E-07,2.35033,1.63E-07,2.74377,1.63E-07,3.27308,1.63E-07,3.7465,1.63E-07,4.3136,1.63E-07,4.70132,1.63E-07,5.51395
1.64E-07,1.92102,1.64E-07,2.3267,1.64E-07,2.71784,1.64E-07,3.24454,1.64E-07,3.71597,1.64E-07,4.28096,1.64E-07,4.66736,1.64E-07,5.47739
1.65E-07,1.90399,1.65E-07,2.30331,1.65E-07,2.69214,1.65E-07,3.21622,1.65E-07,3.68564,1.65E-07,4.24851,1.65E-07,4.63358,1.65E-07,5.44102
1.66E-07,1.88759,1.66E-07,2.28178,1.66E-07,2.66667,1.66E-07,3.1881,1.66E-07,3.65551,1.66E-07,4.21625,1.66E-07,4.59999,1.66E-07,5.40484
1.67E-07,1.87117,1.67E-07,2.26157,1.67E-07,2.64143,1.67E-07,3.1602,1.67E-07,3.62557,1.67E-07,4.18417,1.67E-07,4.56657,1.67E-07,5.36884
1.68E-07,1.85534,1.68E-07,2.24161,1.68E-07,2.61641,1.68E-07,3.13251,1.68E-07,3.59583,1.68E-07,4.15228,1.68E-07,4.53334,1.68E-07,5.33302
1.69E-07,1.83952,1.69E-07,2.22229,1.69E-07,2.59162,1.69E-07,3.10502,1.69E-07,3.56629,1.69E-07,4.12057,1.69E-07,4.5003,1.69E-07,5.29738
1.70E-07,1.82425,1.70E-07,2.20302,1.70E-07,2.56706,1.70E-07,3.07775,1.70E-07,3.53695,1.70E-07,4.08905,1.70E-07,4.46743,1.70E-07,5.26192
1.71E-07,1.80901,1.71E-07,2.1842,1.71E-07,2.54273,1.71E-07,3.0507,1.71E-07,3.5078,1.71E-07,4.05771,1.71E-07,4.43474,1.71E-07,5.22664
1.72E-07,1.79424,1.72E-07,2.16572,1.72E-07,2.51863,1.72E-07,3.02385,1.72E-07,3.47885,1.72E-07,4.02657,1.72E-07,4.40223,1.72E-07,5.19153
1.73E-07,1.77958,1.73E-07,2.14733,1.73E-07,2.49476,1.73E-07,2.99722,1.73E-07,3.45011,1.73E-07,3.99561,1.73E-07,4.36991,1.73E-07,5.1566
1.74E-07,1.76526,1.74E-07,2.12957,1.74E-07,2.47117,1.74E-07,2.9708,1.74E-07,3.42156,1.74E-07,3.96483,1.74E-07,4.33777,1.74E-07,5.12185
1.75E-07,1.75117,1.75E-07,2.11182,1.75E-07,2.45043,1.75E-07,2.94459,1.75E-07,3.39322,1.75E-07,3.93425,1.75E-07,4.3058,1.75E-07,5.08727
1.76E-07,1.73725,1.76E-07,2.09458,1.76E-07,2.42979,1.76E-07,2.9186,1.76E-07,3.36507,1.76E-07,3.90385,1.76E-07,4.27402,1.76E-07,5.05286
1.77E-07,1.72371,1.77E-07,2.07747,1.77E-07,2.40992,1.77E-07,2.89283,1.77E-07,3.33713,1.77E-07,3.87365,1.77E-07,4.24243,1.77E-07,5.01863
1.78E-07,1.71027,1.78E-07,2.06072,1.78E-07,2.3901,1.78E-07,2.86727,1.78E-07,3.3094,1.78E-07,3.84363,1.78E-07,4.21101,1.78E-07,4.98457
1.79E-07,1.69714,1.79E-07,2.0442,1.79E-07,2.37054,1.79E-07,2.84192,1.79E-07,3.28187,1.79E-07,3.81381,1.79E-07,4.17978,1.79E-07,4.95069
1.80E-07,1.68424,1.80E-07,2.02797,1.80E-07,2.3515,1.80E-07,2.81679,1.80E-07,3.25454,1.80E-07,3.78418,1.80E-07,4.14874,1.80E-07,4.91699
1.81E-07,1.67146,1.81E-07,2.01199,1.81E-07,2.3325,1.81E-07,2.79188,1.81E-07,3.22742,1.81E-07,3.75474,1.81E-07,4.11788,1.81E-07,4.88345
1.82E-07,1.65901,1.82E-07,1.99627,1.82E-07,2.314,1.82E-07,2.76719,1.82E-07,3.2005,1.82E-07,3.72549,1.82E-07,4.0872,1.82E-07,4.8501
1.83E-07,1.64675,1.83E-07,1.98078,1.83E-07,2.2957,1.83E-07,2.74271,1.83E-07,3.17379,1.83E-07,3.69643,1.83E-07,4.05671,1.83E-07,4.81691
1.84E-07,1.63462,1.84E-07,1.96558,1.84E-07,2.27762,1.84E-07,2.71845,1.84E-07,3.14728,1.84E-07,3.66758,1.84E-07,4.02641,1.84E-07,4.78391
1.85E-07,1.62276,1.85E-07,1.95054,1.85E-07,2.25997,1.85E-07,2.6954,1.85E-07,3.12099,1.85E-07,3.63891,1.85E-07,3.99629,1.85E-07,4.75107
1.86E-07,1.61111,1.86E-07,1.93585,1.86E-07,2.24235,1.86E-07,2.67408,1.86E-07,3.0949,1.86E-07,3.61044,1.86E-07,3.96637,1.86E-07,4.71842
1.87E-07,1.59961,1.87E-07,1.92124,1.87E-07,2.22529,1.87E-07,2.65342,1.87E-07,3.06902,1.87E-07,3.58217,1.87E-07,3.93663,1.87E-07,4.68594
1.88E-07,1.58827,1.88E-07,1.90704,1.88E-07,2.20822,1.88E-07,2.63294,1.88E-07,3.04335,1.88E-07,3.5541,1.88E-07,3.90708,1.88E-07,4.65364
1.89E-07,1.5772,1.89E-07,1.89292,1.89E-07,2.19165,1.89E-07,2.61252,1.89E-07,3.01788,1.89E-07,3.52622,1.89E-07,3.87772,1.89E-07,4.62152
1.90E-07,1.5663,1.90E-07,1.8791,1.90E-07,2.17512,1.90E-07,2.59278,1.90E-07,2.99263,1.90E-07,3.49854,1.90E-07,3.84856,1.90E-07,4.58957
1.91E-07,1.55554,1.91E-07,1.86548,1.91E-07,2.15901,1.91E-07,2.57312,1.91E-07,2.96758,1.91E-07,3.47106,1.91E-07,3.81958,1.91E-07,4.5578
1.92E-07,1.54493,1.92E-07,1.85198,1.92E-07,2.14297,1.92E-07,2.55368,1.92E-07,2.94274,1.92E-07,3.44378,1.92E-07,3.7908,1.92E-07,4.52621
1.93E-07,1.53453,1.93E-07,1.83883,1.93E-07,2.12734,1.93E-07,2.53471,1.93E-07,2.91811,1.93E-07,3.41669,1.93E-07,3.76221,1.93E-07,4.49481
1.94E-07,1.52433,1.94E-07,1.82579,1.94E-07,2.11176,1.94E-07,2.51578,1.94E-07,2.89498,1.94E-07,3.38981,1.94E-07,3.73381,1.94E-07,4.46358
1.95E-07,1.51428,1.95E-07,1.81293,1.95E-07,2.0966,1.95E-07,2.49733,1.95E-07,2.87338,1.95E-07,3.36313,1.95E-07,3.7056,1.95E-07,4.43253
