s,Volts,s,Volts,s,Volts,s,Volts
 -3.808e-007,-0.400000006, -3.808e-007,-0.200000003, -3.808e-007,-0.0199999996, -3.808e-007,-0.400000006
 -3.792e-007,-0.400000006, -3.792e-007,-0.200000003, -3.792e-007,           0, -3.792e-007,-0.400000006
 -3.776e-007,-0.400000006, -3.776e-007,           0, -3.776e-007,0.0199999996, -3.776e-007, 0.400000006
  -3.76e-007,-0.400000006,  -3.76e-007,           0,  -3.76e-007,0.0199999996,  -3.76e-007,           0
 -3.744e-007,-0.400000006, -3.744e-007,           0, -3.744e-007,           0, -3.744e-007,-0.400000006
 -3.728e-007,-0.400000006, -3.728e-007,           0, -3.728e-007,0.0199999996, -3.728e-007,           0
 -3.712e-007,-0.800000012, -3.712e-007,-0.400000006, -3.712e-007,0.0199999996, -3.712e-007, 0.400000006
 -3.696e-007,-0.800000012, -3.696e-007,-0.200000003, -3.696e-007,           0, -3.696e-007,-0.400000006
  -3.68e-007,-0.400000006,  -3.68e-007,           0,  -3.68e-007,0.0199999996,  -3.68e-007,           0
 -3.664e-007,           0, -3.664e-007,-0.200000003, -3.664e-007,-0.0199999996, -3.664e-007,-0.400000006
 -3.648e-007,-0.800000012, -3.648e-007,-0.200000003, -3.648e-007,           0, -3.648e-007,           0
 -3.632e-007,           0, -3.632e-007,           0, -3.632e-007,           0, -3.632e-007,-0.400000006
 -3.616e-007,           0, -3.616e-007,-0.200000003, -3.616e-007,-0.0199999996, -3.616e-007,-0.400000006
   -3.6e-007,-0.400000006,   -3.6e-007,-0.200000003,   -3.6e-007,           0,   -3.6e-007,-0.400000006
 -3.584e-007,-0.800000012, -3.584e-007,-0.400000006, -3.584e-007,-0.0199999996, -3.584e-007,-0.400000006
 -3.568e-007,-0.400000006, -3.568e-007,-0.200000003, -3.568e-007,           0, -3.568e-007, 0.400000006
 -3.552e-007,-0.400000006, -3.552e-007,-0.200000003, -3.552e-007,           0, -3.552e-007,           0
 -3.536e-007,-0.400000006, -3.536e-007,           0, -3.536e-007,           0, -3.536e-007,-0.400000006
  -3.52e-007,-0.400000006,  -3.52e-007,-0.200000003,  -3.52e-007,0.0199999996,  -3.52e-007,-0.400000006
 -3.504e-007,           0, -3.504e-007,           0, -3.504e-007,           0, -3.504e-007,-0.400000006
 -3.488e-007,           0, -3.488e-007,           0, -3.488e-007,-0.0199999996, -3.488e-007,           0
 -3.472e-007,-0.400000006, -3.472e-007,           0, -3.472e-007,           0, -3.472e-007,-0.400000006
 -3.456e-007,-0.400000006, -3.456e-007,-0.200000003, -3.456e-007,           0, -3.456e-007,           0
  -3.44e-007,-0.400000006,  -3.44e-007,-0.200000003,  -3.44e-007,           0,  -3.44e-007,-0.400000006
 -3.424e-007,           0, -3.424e-007,           0, -3.424e-007,0.0199999996, -3.424e-007,-0.800000012
 -3.408e-007,           0, -3.408e-007,-0.200000003, -3.408e-007,-0.0199999996, -3.408e-007,           0
 -3.392e-007,-0.400000006, -3.392e-007,           0, -3.392e-007,           0, -3.392e-007,           0
 -3.376e-007,-0.800000012, -3.376e-007,-0.200000003, -3.376e-007,           0, -3.376e-007,           0
  -3.36e-007,-0.400000006,  -3.36e-007,-0.200000003,  -3.36e-007,           0,  -3.36e-007,-0.400000006
 -3.344e-007,           0, -3.344e-007,-0.200000003, -3.344e-007,           0, -3.344e-007,           0
 -3.328e-007, -1.20000005, -3.328e-007,-0.400000006, -3.328e-007,           0, -3.328e-007,           0
 -3.312e-007,           0, -3.312e-007, 0.200000003, -3.312e-007,           0, -3.312e-007,-0.400000006
 -3.296e-007,-0.400000006, -3.296e-007,-0.200000003, -3.296e-007,           0, -3.296e-007,-0.400000006
  -3.28e-007,           0,  -3.28e-007,           0,  -3.28e-007,-0.0199999996,  -3.28e-007,           0
 -3.264e-007,-0.400000006, -3.264e-007,-0.200000003, -3.264e-007,           0, -3.264e-007,           0
 -3.248e-007,-0.400000006, -3.248e-007,-0.200000003, -3.248e-007,-0.0199999996, -3.248e-007,-0.800000012
 -3.232e-007,-0.800000012, -3.232e-007,           0, -3.232e-007,-0.0199999996, -3.232e-007,           0
 -3.216e-007,           0, -3.216e-007,-0.400000006, -3.216e-007,0.0199999996, -3.216e-007,           0
   -3.2e-007,-0.400000006,   -3.2e-007,-0.200000003,   -3.2e-007,0.0199999996,   -3.2e-007,-0.400000006
 -3.184e-007,-0.400000006, -3.184e-007,-0.200000003, -3.184e-007,           0, -3.184e-007,           0
 -3.168e-007,-0.400000006, -3.168e-007,-0.400000006, -3.168e-007,           0, -3.168e-007,-0.400000006
 -3.152e-007,-0.400000006, -3.152e-007,-0.400000006, -3.152e-007,-0.0199999996, -3.152e-007,-0.400000006
 -3.136e-007,-0.400000006, -3.136e-007,-0.200000003, -3.136e-007,           0, -3.136e-007,-0.400000006
  -3.12e-007,-0.400000006,  -3.12e-007,-0.200000003,  -3.12e-007,           0,  -3.12e-007,-0.400000006
 -3.104e-007,-0.400000006, -3.104e-007,-0.200000003, -3.104e-007,           0, -3.104e-007, 0.400000006
 -3.088e-007,-0.400000006, -3.088e-007,           0, -3.088e-007,           0, -3.088e-007,-0.400000006
 -3.072e-007,-0.400000006, -3.072e-007,-0.200000003, -3.072e-007,           0, -3.072e-007,           0
 -3.056e-007,-0.400000006, -3.056e-007,-0.200000003, -3.056e-007,           0, -3.056e-007,           0
  -3.04e-007,-0.800000012,  -3.04e-007,-0.200000003,  -3.04e-007,-0.0399999991,  -3.04e-007,           0
 -3.024e-007,-0.400000006, -3.024e-007,           0, -3.024e-007,-0.0199999996, -3.024e-007,-0.400000006
 -3.008e-007,           0, -3.008e-007,           0, -3.008e-007,0.0199999996, -3.008e-007,           0
 -2.992e-007,-0.400000006, -2.992e-007,-0.200000003, -2.992e-007,-0.0199999996, -2.992e-007,           0
 -2.976e-007,           0, -2.976e-007,           0, -2.976e-007,-0.0199999996, -2.976e-007,-0.400000006
  -2.96e-007,           0,  -2.96e-007,-0.200000003,  -2.96e-007,           0,  -2.96e-007,-0.800000012
 -2.944e-007,-0.400000006, -2.944e-007,-0.200000003, -2.944e-007,-0.0199999996, -2.944e-007,           0
 -2.928e-007, 0.400000006, -2.928e-007,           0, -2.928e-007,0.0199999996, -2.928e-007,-0.400000006
 -2.912e-007,-0.800000012, -2.912e-007,-0.400000006, -2.912e-007,           0, -2.912e-007, 0.400000006
 -2.896e-007,-0.400000006, -2.896e-007,           0, -2.896e-007,           0, -2.896e-007,-0.400000006
  -2.88e-007,-0.400000006,  -2.88e-007,-0.200000003,  -2.88e-007,-0.0199999996,  -2.88e-007,-0.400000006
 -2.864e-007,-0.400000006, -2.864e-007,           0, -2.864e-007,           0, -2.864e-007,           0
 -2.848e-007,-0.400000006, -2.848e-007,-0.200000003, -2.848e-007,           0, -2.848e-007,           0
 -2.832e-007,-0.800000012, -2.832e-007,-0.400000006, -2.832e-007,           0, -2.832e-007,-0.400000006
 -2.816e-007,-0.800000012, -2.816e-007,           0, -2.816e-007,           0, -2.816e-007,           0
   -2.8e-007,           0,   -2.8e-007,           0,   -2.8e-007,           0,   -2.8e-007, 0.400000006
 -2.784e-007, 0.400000006, -2.784e-007,-0.200000003, -2.784e-007,-0.0199999996, -2.784e-007,-0.400000006
 -2.768e-007,-0.800000012, -2.768e-007,-0.200000003, -2.768e-007,0.0199999996, -2.768e-007,           0
 -2.752e-007,-0.400000006, -2.752e-007,-0.200000003, -2.752e-007,           0, -2.752e-007, 0.400000006
 -2.736e-007,           0, -2.736e-007,-0.200000003, -2.736e-007,0.0199999996, -2.736e-007,-0.800000012
  -2.72e-007,-0.400000006,  -2.72e-007,           0,  -2.72e-007,           0,  -2.72e-007,-0.400000006
 -2.704e-007,-0.400000006, -2.704e-007,-0.200000003, -2.704e-007,-0.0199999996, -2.704e-007, 0.400000006
 -2.688e-007,-0.400000006, -2.688e-007,           0, -2.688e-007,0.0199999996, -2.688e-007,-0.400000006
 -2.672e-007,-0.800000012, -2.672e-007,-0.400000006, -2.672e-007,-0.0399999991, -2.672e-007,-0.400000006
 -2.656e-007,-0.400000006, -2.656e-007,           0, -2.656e-007,-0.0199999996, -2.656e-007, 0.400000006
  -2.64e-007,           0,  -2.64e-007,-0.200000003,  -2.64e-007,           0,  -2.64e-007,-0.400000006
 -2.624e-007,           0, -2.624e-007,           0, -2.624e-007,           0, -2.624e-007, 0.400000006
 -2.608e-007,           0, -2.608e-007,           0, -2.608e-007,-0.0199999996, -2.608e-007,           0
 -2.592e-007,           0, -2.592e-007,-0.400000006, -2.592e-007,-0.0199999996, -2.592e-007,           0
 -2.576e-007,-0.400000006, -2.576e-007,-0.200000003, -2.576e-007,           0, -2.576e-007,-0.400000006
  -2.56e-007,-0.400000006,  -2.56e-007,-0.200000003,  -2.56e-007,           0,  -2.56e-007,           0
 -2.544e-007,-0.400000006, -2.544e-007,-0.200000003, -2.544e-007,           0, -2.544e-007,-0.400000006
 -2.528e-007,-0.400000006, -2.528e-007,           0, -2.528e-007,0.0199999996, -2.528e-007, 0.400000006
 -2.512e-007, 0.400000006, -2.512e-007,-0.200000003, -2.512e-007,0.0199999996, -2.512e-007,-0.400000006
 -2.496e-007,           0, -2.496e-007,-0.200000003, -2.496e-007,           0, -2.496e-007,           0
  -2.48e-007,-0.400000006,  -2.48e-007,-0.200000003,  -2.48e-007,           0,  -2.48e-007,           0
 -2.464e-007,-0.400000006, -2.464e-007,           0, -2.464e-007,-0.0199999996, -2.464e-007,           0
 -2.448e-007,-0.400000006, -2.448e-007,-0.200000003, -2.448e-007,           0, -2.448e-007, 0.400000006
 -2.432e-007,-0.400000006, -2.432e-007,           0, -2.432e-007,           0, -2.432e-007,           0
 -2.416e-007,-0.400000006, -2.416e-007,           0, -2.416e-007,-0.0199999996, -2.416e-007,-0.400000006
   -2.4e-007,-0.400000006,   -2.4e-007,           0,   -2.4e-007,0.0199999996,   -2.4e-007,-0.400000006
 -2.384e-007,-0.400000006, -2.384e-007,-0.200000003, -2.384e-007,           0, -2.384e-007,           0
 -2.368e-007,           0, -2.368e-007,           0, -2.368e-007,-0.0199999996, -2.368e-007,-0.400000006
 -2.352e-007,-0.400000006, -2.352e-007,-0.200000003, -2.352e-007,           0, -2.352e-007,           0
 -2.336e-007, 0.400000006, -2.336e-007,           0, -2.336e-007,-0.0199999996, -2.336e-007,           0
  -2.32e-007,           0,  -2.32e-007,-0.200000003,  -2.32e-007,           0,  -2.32e-007,           0
 -2.304e-007,           0, -2.304e-007,-0.200000003, -2.304e-007,           0, -2.304e-007,           0
 -2.288e-007,           0, -2.288e-007,           0, -2.288e-007,           0, -2.288e-007,-0.800000012
 -2.272e-007,-0.400000006, -2.272e-007,           0, -2.272e-007,0.0199999996, -2.272e-007,-0.400000006
 -2.256e-007,-0.400000006, -2.256e-007,-0.200000003, -2.256e-007,           0, -2.256e-007,-0.400000006
  -2.24e-007,-0.400000006,  -2.24e-007,-0.200000003,  -2.24e-007,           0,  -2.24e-007,-0.400000006
 -2.224e-007,-0.400000006, -2.224e-007,-0.200000003, -2.224e-007,           0, -2.224e-007,           0
 -2.208e-007,-0.800000012, -2.208e-007, 0.200000003, -2.208e-007,           0, -2.208e-007,-0.400000006
 -2.192e-007,-0.800000012, -2.192e-007, 0.200000003, -2.192e-007,0.0199999996, -2.192e-007,-0.400000006
 -2.176e-007,           0, -2.176e-007,-0.200000003, -2.176e-007,           0, -2.176e-007, 0.400000006
  -2.16e-007,-0.400000006,  -2.16e-007, 0.200000003,  -2.16e-007,           0,  -2.16e-007,-0.400000006
 -2.144e-007,-0.400000006, -2.144e-007,-0.200000003, -2.144e-007,0.0199999996, -2.144e-007,           0
 -2.128e-007,-0.400000006, -2.128e-007,-0.200000003, -2.128e-007,           0, -2.128e-007,-0.400000006
 -2.112e-007,           0, -2.112e-007,-0.200000003, -2.112e-007,           0, -2.112e-007,-0.400000006
 -2.096e-007,           0, -2.096e-007,           0, -2.096e-007,           0, -2.096e-007,           0
  -2.08e-007, 0.400000006,  -2.08e-007,           0,  -2.08e-007,-0.0199999996,  -2.08e-007,-0.400000006
 -2.064e-007,-0.400000006, -2.064e-007,-0.200000003, -2.064e-007,           0, -2.064e-007,-0.800000012
 -2.048e-007,           0, -2.048e-007,-0.200000003, -2.048e-007,-0.0199999996, -2.048e-007,           0
 -2.032e-007,-0.400000006, -2.032e-007,           0, -2.032e-007,0.0199999996, -2.032e-007,           0
 -2.016e-007,-0.400000006, -2.016e-007,           0, -2.016e-007,           0, -2.016e-007,-0.400000006
     -2e-007,-0.400000006,     -2e-007,           0,     -2e-007,           0,     -2e-007,-0.400000006
 -1.984e-007,-0.400000006, -1.984e-007,-0.200000003, -1.984e-007,           0, -1.984e-007,-0.400000006
 -1.968e-007,           0, -1.968e-007,-0.200000003, -1.968e-007,0.0199999996, -1.968e-007,-0.400000006
 -1.952e-007,-0.400000006, -1.952e-007,-0.200000003, -1.952e-007,           0, -1.952e-007,-0.400000006
 -1.936e-007,           0, -1.936e-007,-0.200000003, -1.936e-007,-0.0199999996, -1.936e-007,           0
  -1.92e-007,-0.400000006,  -1.92e-007,-0.200000003,  -1.92e-007,           0,  -1.92e-007,           0
 -1.904e-007,-0.400000006, -1.904e-007,-0.200000003, -1.904e-007,-0.0199999996, -1.904e-007,           0
 -1.888e-007,-0.400000006, -1.888e-007,-0.200000003, -1.888e-007,-0.0199999996, -1.888e-007,           0
 -1.872e-007,-0.400000006, -1.872e-007,           0, -1.872e-007,           0, -1.872e-007,           0
 -1.856e-007,-0.400000006, -1.856e-007,           0, -1.856e-007,-0.0199999996, -1.856e-007,           0
  -1.84e-007,-0.800000012,  -1.84e-007,           0,  -1.84e-007,0.0199999996,  -1.84e-007,           0
 -1.824e-007, 0.400000006, -1.824e-007,-0.200000003, -1.824e-007,           0, -1.824e-007,-0.400000006
 -1.808e-007,-0.400000006, -1.808e-007,-0.200000003, -1.808e-007,           0, -1.808e-007,           0
 -1.792e-007,           0, -1.792e-007,-0.200000003, -1.792e-007,           0, -1.792e-007,           0
 -1.776e-007,-0.400000006, -1.776e-007,-0.200000003, -1.776e-007,           0, -1.776e-007,-0.400000006
  -1.76e-007,-0.400000006,  -1.76e-007,-0.200000003,  -1.76e-007,           0,  -1.76e-007,           0
 -1.744e-007,           0, -1.744e-007,           0, -1.744e-007,           0, -1.744e-007,-0.400000006
 -1.728e-007,-0.800000012, -1.728e-007,-0.200000003, -1.728e-007,-0.0199999996, -1.728e-007,           0
 -1.712e-007,           0, -1.712e-007,           0, -1.712e-007,           0, -1.712e-007,-0.400000006
 -1.696e-007,-0.400000006, -1.696e-007,-0.200000003, -1.696e-007,           0, -1.696e-007,           0
  -1.68e-007,-0.400000006,  -1.68e-007,           0,  -1.68e-007,0.0199999996,  -1.68e-007,           0
 -1.664e-007,-0.800000012, -1.664e-007,           0, -1.664e-007,-0.0199999996, -1.664e-007,           0
 -1.648e-007,-0.400000006, -1.648e-007,-0.200000003, -1.648e-007,-0.0199999996, -1.648e-007,           0
 -1.632e-007,-0.400000006, -1.632e-007, 0.200000003, -1.632e-007,           0, -1.632e-007,           0
 -1.616e-007,-0.400000006, -1.616e-007,           0, -1.616e-007,           0, -1.616e-007,           0
   -1.6e-007,-0.400000006,   -1.6e-007,           0,   -1.6e-007,           0,   -1.6e-007,-0.400000006
 -1.584e-007,           0, -1.584e-007,-0.400000006, -1.584e-007,-0.0199999996, -1.584e-007,           0
 -1.568e-007,-0.400000006, -1.568e-007,-0.200000003, -1.568e-007,-0.0199999996, -1.568e-007,-0.400000006
 -1.552e-007, 0.400000006, -1.552e-007,           0, -1.552e-007,-0.0199999996, -1.552e-007, 0.400000006
 -1.536e-007,-0.400000006, -1.536e-007,-0.200000003, -1.536e-007,           0, -1.536e-007, 0.400000006
  -1.52e-007,-0.400000006,  -1.52e-007,-0.200000003,  -1.52e-007,-0.0199999996,  -1.52e-007,           0
 -1.504e-007,-0.400000006, -1.504e-007,-0.200000003, -1.504e-007,           0, -1.504e-007,           0
 -1.488e-007,-0.400000006, -1.488e-007,           0, -1.488e-007,0.0199999996, -1.488e-007, 0.400000006
 -1.472e-007,           0, -1.472e-007,           0, -1.472e-007,0.0199999996, -1.472e-007,           0
 -1.456e-007,-0.800000012, -1.456e-007,           0, -1.456e-007,           0, -1.456e-007, 0.400000006
  -1.44e-007,-0.400000006,  -1.44e-007,-0.200000003,  -1.44e-007,           0,  -1.44e-007,           0
 -1.424e-007,-0.400000006, -1.424e-007,-0.200000003, -1.424e-007,-0.0199999996, -1.424e-007,-0.400000006
 -1.408e-007,           0, -1.408e-007,-0.200000003, -1.408e-007,           0, -1.408e-007, 0.400000006
 -1.392e-007,           0, -1.392e-007,           0, -1.392e-007,0.0199999996, -1.392e-007,           0
 -1.376e-007,           0, -1.376e-007,-0.200000003, -1.376e-007,0.0199999996, -1.376e-007, 0.400000006
  -1.36e-007,-0.400000006,  -1.36e-007,-0.200000003,  -1.36e-007,0.0199999996,  -1.36e-007,           0
 -1.344e-007,-0.800000012, -1.344e-007,-0.200000003, -1.344e-007,           0, -1.344e-007,           0
 -1.328e-007,-0.800000012, -1.328e-007,-0.400000006, -1.328e-007,-0.0199999996, -1.328e-007,           0
 -1.312e-007,-0.400000006, -1.312e-007, 0.200000003, -1.312e-007,           0, -1.312e-007,           0
 -1.296e-007,-0.400000006, -1.296e-007,           0, -1.296e-007,           0, -1.296e-007,           0
  -1.28e-007,-0.400000006,  -1.28e-007,           0,  -1.28e-007,           0,  -1.28e-007,-0.400000006
 -1.264e-007,           0, -1.264e-007,-0.400000006, -1.264e-007,0.0199999996, -1.264e-007,-0.400000006
 -1.248e-007,-0.400000006, -1.248e-007,           0, -1.248e-007,-0.0199999996, -1.248e-007,           0
 -1.232e-007,           0, -1.232e-007,-0.200000003, -1.232e-007,0.0199999996, -1.232e-007,           0
 -1.216e-007,           0, -1.216e-007,-0.200000003, -1.216e-007,-0.0199999996, -1.216e-007,-0.400000006
   -1.2e-007,           0,   -1.2e-007,           0,   -1.2e-007,-0.0199999996,   -1.2e-007,           0
