t,3 mm,t,5 mm,t,8 mm,t,15 mm
4.97E-08,9.37704,4.97E-08,12.0807,4.97E-08,15.28889,4.97E-08,21.84056
4.97E-08,9.38336,4.97E-08,12.10163,4.97E-08,15.28889,4.97E-08,21.84056
4.97E-08,9.37353,4.97E-08,12.08069,5.47E-08,12.00014,5.47E-08,16.43756
4.97E-08,9.37353,4.97E-08,12.10163,5.47E-08,12.00012,5.47E-08,16.43756
4.97E-08,9.37701,5.47E-08,9.49408,5.97E-08,10.53655,5.97E-08,14.40606
4.97E-08,9.38335,5.47E-08,9.50315,5.97E-08,10.53654,5.97E-08,14.40606
5.47E-08,7.72029,5.47E-08,9.49407,6.47E-08,9.5115,6.47E-08,13.02389
5.47E-08,7.72322,5.47E-08,9.50313,6.47E-08,9.51149,6.47E-08,13.02389
5.47E-08,7.71865,5.97E-08,8.34328,6.97E-08,8.66047,6.97E-08,11.83321
5.47E-08,7.71867,5.97E-08,8.34904,6.97E-08,8.66046,6.97E-08,11.83321
5.47E-08,7.72026,5.97E-08,8.34328,7.47E-08,8.03825,7.47E-08,10.98674
5.47E-08,7.72318,5.97E-08,8.34903,7.47E-08,8.03824,7.47E-08,10.98674
5.97E-08,6.69477,6.47E-08,7.52667,7.97E-08,7.53501,7.97E-08,10.30394
5.97E-08,6.69645,6.47E-08,7.53065,7.97E-08,7.535,7.97E-08,10.30394
5.97E-08,6.69384,6.47E-08,7.52667,8.47E-08,7.11683,8.47E-08,9.74011
5.97E-08,6.69385,6.47E-08,7.53064,8.47E-08,7.11682,8.47E-08,9.74011
5.97E-08,6.69476,6.97E-08,6.86099,8.97E-08,6.75935,8.97E-08,9.26196
5.97E-08,6.69643,6.97E-08,6.864,8.97E-08,6.75935,8.97E-08,9.26196
6.47E-08,5.88738,6.97E-08,6.86098,9.47E-08,6.4463,9.47E-08,8.84721
6.47E-08,5.88855,6.97E-08,6.86399,9.47E-08,6.44629,9.47E-08,8.84721
6.47E-08,5.88672,7.47E-08,6.36561,9.97E-08,6.16642,9.97E-08,8.48052
6.47E-08,5.88673,7.47E-08,6.36803,9.97E-08,6.16642,9.97E-08,8.48052
6.47E-08,5.88737,7.47E-08,6.36561,1.05E-07,5.91176,1.05E-07,8.15093
6.47E-08,5.88854,7.47E-08,6.36802,1.05E-07,5.91176,1.05E-07,8.15093
6.97E-08,5.36186,7.97E-08,5.96307,1.10E-07,5.67653,1.10E-07,7.85047
6.97E-08,5.36276,7.97E-08,5.96508,1.10E-07,5.67653,1.10E-07,7.85047
6.97E-08,5.36136,7.97E-08,5.96307,1.15E-07,5.45649,1.15E-07,7.57314
6.97E-08,5.36137,7.97E-08,5.96507,1.15E-07,5.45649,1.15E-07,7.57314
6.97E-08,5.36185,8.47E-08,5.62599,1.20E-07,5.24847,1.20E-07,7.3144
6.97E-08,5.36275,8.47E-08,5.62768,1.20E-07,5.24847,1.20E-07,7.3144
7.47E-08,4.95915,8.47E-08,5.62599,1.25E-07,5.05015,1.25E-07,7.07075
7.47E-08,4.95987,8.47E-08,5.62768,1.25E-07,5.05014,1.25E-07,7.07074
7.47E-08,4.95875,8.97E-08,5.33511,1.30E-07,4.85978,1.30E-07,6.83946
7.47E-08,4.95875,8.97E-08,5.33656,1.30E-07,4.85978,1.30E-07,6.83946
7.47E-08,4.95914,8.97E-08,5.33511,1.35E-07,4.67615,1.35E-07,6.61842
7.47E-08,4.95986,8.97E-08,5.33656,1.35E-07,4.67615,1.35E-07,6.61842
7.97E-08,4.63431,9.47E-08,5.07759,1.40E-07,4.49838,1.40E-07,6.40598
7.97E-08,4.6349,9.47E-08,5.07884,1.40E-07,4.49838,1.40E-07,6.40598
7.97E-08,4.63397,9.47E-08,5.07759,1.45E-07,4.32591,1.45E-07,6.20086
7.97E-08,4.63397,9.47E-08,5.07884,1.45E-07,4.32591,1.45E-07,6.20086
7.97E-08,4.6343,9.97E-08,4.8457,1.50E-07,4.15839,1.50E-07,6.0021
7.97E-08,4.63489,9.97E-08,4.84462,1.50E-07,4.15839,1.50E-07,6.0021
8.47E-08,4.36067,9.97E-08,4.84462,1.55E-07,3.99564,1.55E-07,5.80898
8.47E-08,4.36117,9.97E-08,4.8457,1.55E-07,3.99564,1.55E-07,5.80898
8.47E-08,4.36039,1.05E-07,4.63095,1.60E-07,3.83761,1.60E-07,5.62098
8.47E-08,4.36039,1.05E-07,4.63095,1.60E-07,3.83761,1.60E-07,5.62098
8.47E-08,4.36066,1.05E-07,4.63001,1.61E-07,3.80648,1.61E-07,5.58385
8.47E-08,4.36116,1.05E-07,4.63001,1.61E-07,3.80648,1.61E-07,5.58385
8.97E-08,4.12197,1.10E-07,4.4294,1.62E-07,3.77561,1.62E-07,5.54699
8.97E-08,4.12173,1.10E-07,4.43021,1.62E-07,3.77561,1.62E-07,5.54699
8.97E-08,4.12174,1.10E-07,4.4294,1.63E-07,3.74494,1.63E-07,5.51034
8.97E-08,4.12196,1.10E-07,4.4302,1.63E-07,3.74494,1.63E-07,5.51034
8.97E-08,4.12238,1.15E-07,4.23965,1.64E-07,3.71447,1.64E-07,5.47388
8.97E-08,4.12239,1.15E-07,4.24035,1.64E-07,3.71447,1.64E-07,5.47388
9.47E-08,3.90779,1.15E-07,4.23965,1.65E-07,3.68419,1.65E-07,5.4376
9.47E-08,3.90815,1.15E-07,4.24034,1.65E-07,3.68419,1.65E-07,5.4376
9.47E-08,3.90759,1.20E-07,4.05858,1.66E-07,3.65412,1.66E-07,5.40151
